restaurantID,rating_y,average sentiments
B9XfSKJ3vwbFwn8IxUJccg,4.5,positive
BDi1mFX4KjH0fWqpMfcW2Q,4.0,negative
BEB7eYric_ab6KVGseD1WA,2.421052631578948,negative
BHSJyn_HnqbT5NCzI6Y5ew,3.0,positive
BIIePPIF4qMsTfgj5uaG5Q,3.49,positive
BJF03kYukVqSD_Q6YalIIA,3.2857142857142856,negative
BPg56t_UUCjZCK6i0o6xkQ,3.267676767676768,negative
BX6cBHdGLa_1N_9yk-A1Kg,1.0,positive
BY4BLBqjvnmxOzCq7HubNA,3.8,positive
BYleLXJjgftdVjcLC7R7Ag,5.0,positive
BZMOr8NccKwm8SoOEKhuNQ,3.0,negative
BZ_M2gUQcq1AICzAIPPHJw,5.0,positive
BZaQ8TlSIc4NWF1wPdBL6w,5.0,negative
B_tlw2aouzdioOGdV-amCQ,1.0,negative
Bbdv_Y4ZuvdTJ4Qfj1F2Pg,5.0,positive
BfQXFqVAeI8mI1YkJCDC1A,4.0,negative
BgafIDKCk2FBjhmNozYm0A,3.0,negative
BhPhzVeLpBQrTIxb9pW_Aw,3.6666666666666665,negative
BhQY0rXqmEAuHmOpFZvBZQ,1.0,negative
BhnzQNznnPmeqRJWvWfT-A,5.0,negative
