Year,Business Type,Business Name,address,Has Tobacco License,Has Liquor License,Crime Type,#Crimes,#Arrests,#On Premises
2001,Restaurant,Nino Paninos,225 s canal st ,False,False,CRIMINAL DAMAGE,961,116,2
2001,Restaurant,Metro Deli & Cafe,210 s canal st ,True,False,CRIMINAL DAMAGE,961,116,2
2001,Restaurant,Delmonico,111 w washington st ,False,False,CRIMINAL DAMAGE,946,91,3
2001,Restaurant,BomBon 4,170 w washington st ,False,False,CRIMINAL DAMAGE,946,91,3
2001,Restaurant,Ruby of Siam,170 w washington st ,False,False,CRIMINAL DAMAGE,946,91,3
2001,Restaurant,Cardozo's Pub,170 w washington st ,True,False,CRIMINAL DAMAGE,946,91,3
2001,Restaurant,Sixty Five Chinese Restaurant,201 w madison st ,False,False,CRIMINAL DAMAGE,935,94,2
2001,Restaurant,Dunkin' Donuts,201 w madison st ,False,False,CRIMINAL DAMAGE,935,94,2
2001,Restaurant,Potbelly Sandwich Works,303 w madison st ,False,False,CRIMINAL DAMAGE,926,93,1
2001,Restaurant,Around the Corner,325 s franklin st ,False,False,CRIMINAL DAMAGE,922,101,1
2001,Restaurant,Pockets,329 s franklin st ,False,False,CRIMINAL DAMAGE,922,101,1
2001,Restaurant,I Dream Of Falafel,331 s franklin st ,False,False,CRIMINAL DAMAGE,922,101,1
2001,Restaurant,Petra Cafe,331 s franklin st ,False,False,CRIMINAL DAMAGE,922,101,1
2001,Restaurant,Quiznos,333 s franklin st ,False,False,CRIMINAL DAMAGE,922,101,1
2001,Restaurant,Billy Goat Tavern & Grill,330 s wells st ,True,False,CRIMINAL DAMAGE,915,95,3
2001,Restaurant,Lai Lai Oriental Express,330 s wells st ,False,False,CRIMINAL DAMAGE,915,95,3
2001,Restaurant,Freshii,311 s wacker dr ,False,False,CRIMINAL DAMAGE,905,96,2
2001,Restaurant,Pazzo's @ 311,311 s wacker dr ,False,False,CRIMINAL DAMAGE,905,96,2
2001,Restaurant,Protein Bar,221 w washington st ,False,False,CRIMINAL DAMAGE,904,87,2
2001,Restaurant,Med Kitchen,219 w washington st ,False,False,CRIMINAL DAMAGE,904,87,2
2001,Restaurant,Indian Express,120 n wells st ,False,False,CRIMINAL DAMAGE,893,86,8
2001,Restaurant,Off the Tracks Grill,190 n wells st ,False,False,CRIMINAL DAMAGE,893,86,8
2001,Restaurant,Sixty Five Chinese Restaurants,176 n wells st ,False,False,CRIMINAL DAMAGE,893,86,8
2001,Restaurant,Bombay Wraps,122 n wells st ,False,False,CRIMINAL DAMAGE,893,86,8
2001,Restaurant,Curried Loop,171 n wells st ,False,False,CRIMINAL DAMAGE,893,86,8
2001,Restaurant,Pierogi Heaven,169 n wells st ,False,False,CRIMINAL DAMAGE,893,86,8
2001,Restaurant,Yolk,1120 s michigan ave ,False,False,THEFT,887,354,1
2001,Restaurant,Marcello's Market & Deli,155 n wacker dr ,False,False,CRIMINAL DAMAGE,864,81,1
2001,Restaurant,Sushi Sai,123 n wacker dr ,False,False,CRIMINAL DAMAGE,864,81,1
2001,Restaurant,Specialty's Cafe & Bakery,191 n wacker dr ,False,False,CRIMINAL DAMAGE,864,81,1
2001,Grocery,Bockwinkel's,222 n columbus dr ,True,False,CRIMINAL DAMAGE,802,76,1
